frame,id,old_id,l,t,w,h,s,gpx,gpy,state
0,1,1,391,339,136,385,0.93,0,-4,0
0,2,2,1533,395,113,300,0.91,0,-1,0
0,3,3,1155,402,83,226,0.91,0,-1,0
0,4,4,50,403,78,224,0.88,0,1,0
0,5,5,752,390,59,159,0.86,0,-2,0
1,1,1,389,339,137,386,0.93,0,-4,0
1,2,2,1534,393,114,302,0.91,0,-1,0
1,3,3,1155,402,83,226,0.91,0,-1,0
1,5,5,753,391,58,158,0.87,0,-2,0
1,7,4,45,403,79,225,0.89,0,1,0
2,1,1,388,338,137,386,0.92,0,-4,0
2,2,2,1532,391,115,305,0.92,0,-1,0
2,3,3,1155,402,83,226,0.91,0,-1,0
2,4,4,41,403,79,226,0.89,0,1,0
2,16,5,754,392,58,157,0.89,0,-2,0
3,1,1,388,335,138,389,0.91,0,-4,0
3,2,2,1532,391,116,307,0.92,0,-1,0
3,3,3,1155,402,83,226,0.91,0,-1,0
3,4,4,37,403,79,226,0.9,0,1,0
3,17,5,756,392,58,157,0.89,0,-2,0
4,1,1,391,334,139,389,0.9,0,-4,0
4,2,2,1534,390,116,308,0.92,0,-1,0
4,3,3,1155,402,83,226,0.91,0,-1,0
4,4,4,34,402,80,229,0.9,0,1,0
4,17,5,757,392,59,158,0.88,0,-2,0
5,1,1,393,333,140,389,0.91,0,-4,0
5,2,2,1535,389,116,308,0.92,0,-1,0
5,3,3,1156,402,83,227,0.91,0,-1,0
5,17,5,760,391,60,159,0.88,0,-2,0
5,20,4,31,400,81,233,0.91,0,1,0
6,1,1,395,332,141,393,0.91,0,-4,0
6,2,2,1538,389,116,308,0.92,0,-1,0
6,3,3,1155,402,83,227,0.91,0,-1,0
6,7,4,28,398,82,235,0.91,0,1,0
6,17,5,764,391,60,158,0.87,0,-2,0
7,1,1,396,331,143,396,0.91,0,-4,0
7,2,2,1542,389,116,308,0.92,0,-1,0
7,3,3,1155,402,83,227,0.91,0,-1,0
7,17,5,768,392,60,157,0.88,0,-2,0
7,18,4,26,397,83,237,0.91,0,1,0
8,1,1,396,330,144,400,0.92,0,-4,0
8,2,2,1546,388,115,307,0.92,0,-1,0
8,3,3,1155,402,83,226,0.91,0,-1,0
8,17,5,770,391,61,158,0.86,0,-2,0
8,20,4,23,397,84,237,0.91,0,1,0
9,1,1,396,330,147,408,0.92,0,-4,0
9,2,2,1551,387,115,308,0.92,0,-1,0
9,3,3,1155,402,83,226,0.91,0,-1,0
9,17,5,774,390,62,161,0.84,0,-2,0
9,20,4,21,397,85,238,0.9,0,1,0
10,1,1,396,329,150,417,0.92,0,-4,0
10,2,2,1555,388,114,306,0.92,0,-1,0
10,3,3,1155,402,83,227,0.91,0,-1,0
10,17,5,778,390,62,160,0.88,0,-2,0
10,20,4,18,398,87,238,0.9,0,1,0
11,1,1,396,329,151,421,0.91,0,-4,0
11,2,2,1557,389,113,305,0.91,0,-1,0
11,3,3,1155,402,83,226,0.91,0,-1,0
11,17,5,782,390,63,161,0.9,0,-2,0
11,18,4,16,398,88,238,0.9,0,1,0
12,1,1,397,329,152,423,0.91,0,-4,0
12,2,2,1560,389,112,305,0.91,0,-1,0
12,3,3,1155,402,82,226,0.91,0,-1,0
12,17,5,784,389,63,161,0.9,0,-2,0
12,18,4,14,398,89,237,0.9,0,1,0
13,1,1,397,329,152,425,0.92,0,-4,0
13,2,2,1562,389,111,304,0.92,0,-1,0
13,3,3,1154,402,82,226,0.92,0,-1,0
13,17,5,787,390,64,162,0.89,0,-2,0
13,18,4,13,398,91,239,0.87,0,1,0
14,1,1,398,329,153,429,0.92,0,-4,0
14,2,2,1564,390,110,302,0.92,0,-1,0
14,3,3,1154,402,81,226,0.92,0,-1,0
14,17,5,789,389,65,162,0.9,0,-2,0
14,21,4,6,399,91,237,0.87,0,1,0
15,1,1,400,330,151,430,0.92,0,-4,0
15,2,2,1564,390,109,301,0.92,0,-1,0
15,3,3,1154,402,81,226,0.92,0,-1,0
15,17,5,791,389,66,163,0.89,0,-1,0
15,21,4,2,399,91,237,0.87,0,1,0
16,1,1,402,329,150,433,0.91,0,-4,0
16,2,2,1565,389,109,303,0.93,0,-1,0
16,3,3,1154,402,80,226,0.92,0,-1,0
16,9,4,-1,399,91,239,0.84,0,1,0
16,17,5,791,389,69,170,0.88,0,-1,0
17,1,1,403,330,149,436,0.91,0,-4,0
17,2,2,1566,389,109,304,0.93,0,-1,0
17,3,3,1153,402,80,226,0.92,0,-1,0
17,17,5,793,389,69,170,0.88,0,-1,0
17,18,6,397,426,48,124,0.74,0,-9,0
17,21,4,-9,399,91,239,0.79,0,1,0
18,1,1,403,329,148,438,0.91,0,-4,0
18,2,2,1566,389,108,303,0.93,0,-1,0
18,3,3,1153,402,80,226,0.92,0,-1,0
18,4,4,-9,401,90,238,0.78,0,1,0
18,17,5,794,389,70,172,0.88,0,-1,0
18,21,6,397,426,49,126,0.75,0,-9,0
19,1,1,402,329,147,440,0.91,0,-4,0
19,2,2,1566,389,108,303,0.93,0,-1,0
19,3,3,1153,402,79,226,0.92,0,-1,0
19,4,4,-13,401,92,241,0.72,0,1,0
19,17,5,794,390,72,175,0.88,0,-1,0
19,18,6,398,426,48,125,0.74,0,-9,0
20,1,1,401,328,145,442,0.91,0,-4,0
20,2,2,1566,389,107,303,0.93,0,-1,0
