frame,id,old_id,l,t,w,h,s,gpx,gpy,state
0,1,2,816,157,182,342,0.94,0,2,0
0,2,4,1186,202,73,199,0.91,0,2,0
0,3,5,27,147,114,234,0.91,0,0,0
0,4,9,1418,166,120,186,0.89,0,2,0
0,6,10,1821,182,86,224,0.84,0,2,0
0,7,8,1509,180,91,187,0.91,0,2,0
0,8,1,495,68,338,628,0.94,0,2,0
0,9,3,1701,197,91,182,0.91,0,2,0
0,10,6,1646,164,77,180,0.91,0,2,0
0,11,7,1407,201,81,171,0.91,0,2,0
0,12,11,1580,185,55,144,0.82,0,2,0
0,13,12,1738,197,62,175,0.76,0,2,0
0,14,13,826,197,56,189,0.71,0,1,0
0,15,14,1562,179,53,151,0.61,0,2,0
1,1,2,818,159,181,340,0.93,0,2,0
1,2,4,1187,202,73,198,0.92,0,2,0
1,3,5,29,148,114,234,0.92,0,0,0
1,4,9,1418,166,120,186,0.89,0,2,0
1,6,10,1820,183,86,222,0.84,0,2,0
1,7,8,1509,180,91,186,0.9,0,2,0
1,8,1,490,69,333,618,0.95,0,2,0
1,9,3,1700,197,91,181,0.89,0,2,0
1,10,6,1645,164,76,179,0.91,0,2,0
1,11,7,1408,202,81,170,0.9,0,2,0
1,12,11,1579,185,55,144,0.83,0,2,0
1,13,12,1737,196,64,180,0.8,0,2,0
1,14,13,828,197,57,192,0.79,0,1,0
1,15,14,1558,179,53,153,0.53,0,2,0
2,1,2,821,161,180,338,0.94,0,2,0
2,2,1,486,70,327,607,0.95,0,2,0
2,2,4,1189,201,72,197,0.92,0,2,0
2,3,13,829,197,57,192,0.82,0,1,0
2,6,10,1818,184,86,221,0.85,0,2,0
2,7,8,1509,180,91,186,0.91,0,2,0
2,9,3,1699,196,91,181,0.89,0,2,0
2,10,6,1645,164,76,178,0.91,0,2,0
2,11,7,1409,202,81,169,0.9,0,2,0
2,12,11,1578,185,56,145,0.83,0,2,0
2,13,12,1739,197,63,179,0.81,0,2,0
2,15,14,1559,178,53,152,0.67,0,2,0
2,16,9,1418,166,119,185,0.88,0,2,0
2,17,5,33,148,114,233,0.92,0,0,0
3,1,2,822,162,180,337,0.94,0,2,0
3,2,1,478,70,327,607,0.93,0,2,0
3,2,4,1192,201,72,197,0.92,0,2,0
3,3,13,830,197,58,192,0.84,0,1,0
3,4,9,1417,166,120,186,0.89,0,2,0
3,6,10,1816,184,85,220,0.84,0,2,0
3,7,8,1508,180,91,186,0.92,0,2,0
3,9,3,1697,195,90,180,0.88,0,2,0
3,10,6,1645,163,75,177,0.91,0,2,0
3,11,7,1407,201,81,170,0.89,0,2,0
3,12,11,1579,185,55,144,0.85,0,2,0
3,17,5,35,148,113,233,0.92,0,0,0
3,18,14,1560,181,52,149,0.71,0,2,0
3,19,12,1742,199,63,177,0.81,0,2,0
4,1,2,823,162,181,336,0.93,0,2,0
4,2,1,472,72,325,603,0.94,0,2,0
4,2,4,1194,201,71,196,0.92,0,2,0
4,3,13,832,197,58,192,0.88,0,1,0
4,4,9,1417,165,121,187,0.89,0,2,0
4,4,11,1580,185,55,143,0.86,0,2,0
4,6,10,1816,184,85,219,0.83,0,2,0
4,7,8,1508,180,91,186,0.93,0,2,0
4,9,3,1696,195,90,182,0.89,0,2,0
4,10,6,1646,164,75,176,0.9,0,2,0
4,11,7,1405,201,81,171,0.89,0,2,0
4,17,5,38,148,113,232,0.91,0,0,0
4,18,14,1558,182,52,150,0.78,0,2,0
4,19,12,1744,200,61,174,0.82,0,2,0
5,1,2,826,163,181,335,0.93,0,2,0
5,2,1,466,74,322,598,0.94,0,2,0
5,2,4,1196,201,71,195,0.92,0,2,0
5,3,13,832,197,58,191,0.9,0,1,0
