frame,id,old_id,l,t,w,h,s,gpx,gpy,state
0,1,3,673,422,121,249,0.92,0,2,0
0,3,2,214,463,125,351,0.93,0,0,0
0,4,4,1259,423,81,226,0.91,0,4,0
0,7,1,1488,392,171,440,0.93,0,7,0
0,8,5,978,402,89,197,0.91,0,3,0
1,1,3,670,421,122,250,0.91,0,2,0
1,3,2,214,463,125,351,0.93,0,0,0
1,4,4,1257,423,81,224,0.92,0,4,0
1,7,1,1485,393,172,442,0.94,0,7,0
1,8,5,981,402,88,195,0.91,0,3,0
2,1,3,669,421,122,251,0.92,0,2,0
2,2,5,982,402,89,196,0.91,0,3,0
2,3,2,214,463,125,352,0.93,0,0,0
2,7,1,1479,395,173,447,0.94,0,7,0
2,16,4,1254,423,81,223,0.93,0,4,0
3,1,3,667,420,122,251,0.92,0,2,0
3,2,5,981,402,91,201,0.91,0,3,0
3,3,2,214,463,125,352,0.93,0,0,0
3,4,4,1252,423,81,223,0.92,0,4,0
3,17,1,1474,396,173,447,0.93,0,7,0
4,1,3,661,421,123,252,0.91,0,2,0
4,2,5,983,403,91,201,0.92,0,3,0
4,3,2,214,462,125,351,0.93,0,0,0
4,4,4,1251,423,81,224,0.92,0,4,0
4,17,1,1469,398,173,447,0.92,0,7,0
5,1,3,654,420,123,252,0.91,0,2,0
5,2,5,985,403,90,200,0.92,0,3,0
5,3,2,214,462,125,351,0.93,0,0,0
5,4,4,1249,423,81,223,0.93,0,4,0
5,17,1,1461,398,173,448,0.93,0,7,0
6,1,3,649,419,122,253,0.9,0,2,0
6,2,5,986,403,90,202,0.92,0,3,0
6,3,2,215,462,124,349,0.93,0,0,0
6,4,4,1247,424,80,222,0.92,0,4,0
6,17,1,1455,398,174,449,0.93,0,6,0
7,1,3,644,418,122,254,0.9,0,2,0
7,2,5,988,402,89,199,0.92,0,3,0
7,3,2,215,462,124,348,0.93,0,0,0
7,4,4,1245,424,80,220,0.92,0,4,0
7,23,1,1448,397,174,449,0.94,0,6,0
8,1,3,639,416,121,256,0.89,0,2,0
8,2,5,990,402,88,197,0.92,0,3,0
8,3,2,215,462,123,347,0.93,0,0,0
8,4,4,1243,424,80,220,0.92,0,4,0
8,17,1,1441,396,173,450,0.94,0,6,0
9,1,3,634,415,120,256,0.89,0,2,0
9,2,5,992,403,88,197,0.92,0,3,0
9,3,2,215,462,124,348,0.93,0,0,0
9,4,4,1242,424,80,220,0.93,0,4,0
9,17,1,1434,396,173,450,0.93,0,6,0
10,1,3,633,415,118,257,0.89,0,2,0
10,2,5,995,403,87,196,0.92,0,3,0
10,3,2,215,461,124,349,0.93,0,0,0
10,4,4,1240,425,80,219,0.92,0,4,0
10,17,1,1428,394,172,451,0.92,0,6,0
11,1,3,628,414,116,258,0.86,0,2,0
11,2,5,997,402,87,196,0.92,0,3,0
11,3,2,216,462,124,349,0.93,0,0,0
11,4,4,1240,426,79,218,0.92,0,4,0
11,17,1,1423,392,172,453,0.91,0,6,0
12,1,3,623,413,116,262,0.88,0,2,0
12,2,5,1000,401,86,194,0.92,0,3,0
12,3,2,216,461,124,351,0.93,0,0,0
12,4,4,1239,426,78,217,0.92,0,4,0
12,17,1,1418,392,171,454,0.91,0,6,0
13,1,3,621,414,113,261,0.9,0,2,0
13,2,5,1002,401,86,194,0.92,0,3,0
13,3,2,217,462,124,353,0.93,0,0,0
13,4,4,1238,427,78,216,0.92,0,4,0
13,17,1,1415,392,170,453,0.89,0,6,0
14,1,3,618,414,111,260,0.89,0,1,0
14,2,5,1003,401,86,195,0.91,0,3,0
14,3,2,218,462,123,352,0.93,0,0,0
14,4,4,1238,427,78,216,0.92,0,4,0
14,17,1,1412,392,169,454,0.87,0,6,0
15,1,3,612,414,111,262,0.91,0,1,0
15,2,5,1006,401,86,194,0.91,0,3,0
15,3,2,218,462,122,352,0.94,0,0,0
15,4,4,1237,427,77,216,0.92,0,4,0
15,17,1,1399,394,164,443,0.85,0,6,0
16,1,3,609,415,110,260,0.91,0,1,0
16,2,5,1007,401,87,195,0.92,0,3,0
16,3,2,219,462,122,352,0.93,0,0,0
16,4,4,1236,427,77,216,0.92,0,4,0
16,17,1,1396,392,167,450,0.93,0,6,0
17,1,3,606,415,109,258,0.92,0,1,0
17,3,2,220,462,122,356,0.93,0,0,0
17,4,4,1235,427,77,217,0.92,0,4,0
17,17,1,1392,391,167,451,0.93,0,6,0
17,27,5,1008,401,88,198,0.91,0,3,0
18,1,3,605,416,108,255,0.92,0,1,0
18,3,2,220,462,122,358,0.93,0,0,0
18,4,4,1233,427,77,217,0.92,0,4,0
18,17,1,1383,392,170,456,0.93,0,6,0
18,27,5,1011,401,89,200,0.9,0,3,0
19,1,3,606,415,107,254,0.92,0,1,0
19,2,5,1013,401,89,199,0.9,0,3,0
19,3,2,220,461,123,361,0.93,0,0,0
19,4,4,1231,426,76,214,0.92,0,4,0
19,17,1,1371,392,172,456,0.94,0,6,0
20,1,3,607,417,106,253,0.92,0,1,0
20,3,2,221,462,123,364,0.93,0,0,0
20,4,4,1231,426,76,213,0.92,0,4,0
20,17,1,1359,393,175,456,0.95,0,6,0
20,31,5,1014,401,90,201,0.89,0,3,0
21,1,3,606,417,106,252,0.91,0,1,0
21,2,5,1017,401,91,202,0.88,0,3,0
21,3,2,221,461,123,366,0.93,0,0,0
21,4,4,1229,426,76,212,0.92,0,4,0
21,17,1,1350,395,179,454,0.95,0,6,0
22,1,3,604,418,106,252,0.92,0,1,0
22,3,2,221,461,123,367,0.94,0,0,0
22,4,4,1228,427,76,211,0.92,0,4,0
22,17,1,1345,397,182,452,0.95,0,6,0
22,33,5,1018,401,92,204,0.89,0,3,0
23,1,3,600,417,108,256,0.93,0,1,0
23,3,2,222,461,122,368,0.94,0,0,0
23,4,4,1227,427,77,211,0.92,0,4,0
